id,code,short_name,full_name,country,date1,date2,url
rail_company_5561,5561,W.D.R.,Wyker Dampfschiffs-Reederei Föhr-Amrum GmbH,DE,28/11/2024,02/12/2024,https://www.faehre.de/
rail_company_5562,5562,ITB EVU,ITB GmbH BRB EVU,DE,29/11/2024,02/12/2024,https://www.villmann-gruppe.de/
rail_company_5563,5563,Silverstar RW,Silverstar Railways GmbH,AT,04/12/2024,05/12/2024,
rail_company_5564,5564,Belog,Belog Baustoffe-Entsorgung-Logistik GmbH & Co. KG,DE,04/12/2024,05/12/2024,
rail_company_5565,5565,BTE Bremen,BTE Bremen-Thedinghauser Eisenbahn GmbH,DE,04/12/2024,05/12/2024,https://www.bte-eisenbahn.de/
rail_company_5566,5566,Regiobahn GmbH,Eisenbahn-Infrastruktur-Unternehmen (EIU) NE- Bahn,DE,19/12/2024,10/01/2025,www.regio-bahn.de
rail_company_5567,5567,Bahnbetriebe Blumberg,Bahnbetriebe Blumberg GmbH & CO. KG,DE,12/12/2024,14/12/2024,www.bahnbetriebe-blumberg.de
rail_company_5568,5568,AGROL,Agrol Matejka M Sp. K.,PL,12/12/2024,14/12/2024,www.agrolmatejka.pl
rail_company_5569,5569,TRPL Sp.z o.o.,TRANS RAPID Sp.z o.o.,PL,12/12/2024,14/12/2024,
rail_company_5570,5570,CEF,Centre d'essais Ferroviaires,FR,12/12/2024,14/12/2024,
rail_company_5571,5571,xatellite,xatellite23 UG,DE,07/01/2025,10/01/2025,
rail_company_5572,5572,SIW,"DB Fernverkehr AG, Schifffahrt & Inselbahn Wangerooge",DE,16/12/2024,16/12/2024,https://www.deutschebahn.com/
rail_company_5573,5573,PSP Terminal,PSP Terminal Kft.,HU,19/12/2024,23/12/2024,
rail_company_5574,5574,BBVA S.A.,"Banco Bilbao Vizcaya Argentaria, S.A.",ES,19/12/2024,23/12/2024,
rail_company_5575,5575,RALWR,Rail Workshop s.r.o.,SK,07/01/2025,10/01/2025,https://www.railworkshop.sk/
rail_company_5576,5576,DTF A,dispo-Tf Rail Austria GmbH,AT,07/01/2025,10/01/2025,
rail_company_5577,5577,HLB Basis,HLB Basis AG,DE,07/01/2025,10/01/2025,https://hlb-online.de/#/
rail_company_5578,5578,RBK,Regionalbahn Kassel GmbH,DE,07/01/2025,10/01/2025,
rail_company_5579,5579,BEG EIU,Brohltal Eisenbahn GmbH,DE,07/01/2025,10/01/2025,https://www.brohltal-verwaltung.de/
rail_company_5580,5580,Brest metropole,Brest metropole - Direction des Mobilités,FR,07/01/2025,10/01/2025,
rail_company_5581,5581,YAPIRAY,YAPIRAY DEMIRYOLU INSAAT SISTEMLERI SANAYI VE TICARET A.S,TR,07/01/2025,10/01/2025,https://www.yapiray.com.tr
rail_company_5582,5582,VHT,Verkehrsverband Hochtaunus,DE,07/01/2025,10/01/2025,www.verkehrsverband-hochtaunus.de
rail_company_5583,5583,smpx,simplexion GmbH,DE,10/01/2025,14/01/2025,
rail_company_5584,5584,lugges,lugges UG,DE,10/01/2025,14/01/2025,
rail_company_5585,5585,OpenTrainTimes,OpenTrainTimes Ltd.,GB,13/01/2025,14/01/2025,
rail_company_5586,5586,Tallink,AS TALLINK GRUPP,EE,16/01/2025,17/01/2025,
rail_company_5587,5587,Rail flow,Rail flow GmbH,DE,16/01/2025,17/01/2025,www.rail-flow.com
rail_company_5588,5588,HappyTrain,HappyTrain Production Services B.V.,NL,16/01/2025,17/01/2025,
rail_company_5589,5589,OCVIA,OC'VIA,FR,23/01/2025,24/01/2025,
rail_company_5590,5590,Raideinfra,Raideinfra Oy,FI,23/01/2024,24/01/2025,www.vrgroup.fi
rail_company_5591,5591,HBSOFT,H&B Software Studios UG,DE,27/01/2025,13/02/2025,https://hb-studios.de/
rail_company_5592,5592,WESTbahn H,WESTbahn Hungaria Kft.,HU,27/01/2025,27/01/2025,
rail_company_5593,5593,SI Cargo HU,SI Cargo Hungaria Kft.,HU,27/01/2025,27/01/2025,
rail_company_5594,5594,KVG AG,Kasseler Verkehrsgesellschaft AG,DE,27/01/2025,31/01/2025,
rail_company_5595,5595,MTRBE,Metrans Rail Belgium B.V,BE,28/01/2025,31/01/2025,
rail_company_5596,5596,"KVVH GmbH, GB Rheinhäfen","Karlsruher Versorgungs-, Verkehrs- und Hafen GmbH,",,,,
rail_company_5597,5597,RMCon Int,Rail Management Consultants International GmbH,DE,06/02/2025,13/02/2025,https://rmcon-int.de/
rail_company_5598,5598,PB,Portbase,NL,06/02/2025,13/02/2025,www.portbase.com
rail_company_5599,5599,BS SA,Banco de Sabadell S.A.,ES,10/02/2025,13/02/2025,
rail_company_5600,5600,KKLB,"Kolej Klub, z.s.",CZ,10/02/2025,13/02/2025,https://kolejklub.cz/
rail_company_5601,5601,JURA CEMENT,Jura Cement Fabriken AG,CH,10/02/2025,13/02/2025,https://www.juramaterials.ch/
rail_company_5602,5602,JURACIME,Juracime S.A.,CH,10/02/2025,13/02/2025,https://www.juramaterials.ch/
rail_company_5603,5603,GRB GmbH,GRB Sammelstelle Bayern fur radioaktive Stoffe GmbH,DE,10/02/2025,13/02/2025,https://www.grb-mbh.bayern/
rail_company_5604,5604,TMR,TankMatch Rail Hamburg GmbH,DE,11/02/2025,13/02/2025,
rail_company_5605,5605,ANTON,Anatolian National Train Operation Network,TR,14/02/2025,17/02/2025,
rail_company_5606,5606,BVGS,Busverkehr Gerd Schmidt GmbH,DE,14/02/2025,17/02/2025,https://www.fahrschuleschmidt.de/
rail_company_5607,5607,RBTEU,RATH Bahntechnik GmbH,DE,17/02/2025,21/02/2025,https://www.rath-gruppe.de/
rail_company_5608,5608,SWU,SWU Verkehr GmbH,DE,21/02/2025,24/02/2025,https://www.swu.de
rail_company_5609,5609,SCHFL,Schienenflotte GmbH,DE,21/02/2025,24/02/2025,
rail_company_5610,5610,SAR,Saudi Arabia Railway,SA,24/02/2025,04/03/2025,https://www.sar.com.sa/
rail_company_5611,5611,WVG,Wolfsburger Verkehrs GmbH,DE,28/02/2025,04/03/2025,
rail_company_5612,5612,MFGDJ,Museiföreningen Gefle Dala Jernväg,SE,03/03/2025,04/03/2025,
rail_company_5613,5613,LKM,Lokomotiva d.o.o. Beograd,RS,03/03/2025,04/03/2025,
rail_company_5614,5614,EFSK,Eisenbahnfreunde Treysa e.V.,DE,03/03/2025,04/03/2025,https://www.eftreysa.de/
rail_company_5615,5615,TUG,TUG Tief- und Gleisbau Brandenburg/H. GmbH,DE,03/03/2025,04/03/2025,
rail_company_5616,5616,VATE Trafik,VATE Trafik AB,SE,03/03/2025,04/03/2025,https://vaterail.se/
rail_company_5617,5617,ISL,Infraserv Logistics GmbH,DE,03/03/2025,04/03/2025,
rail_company_5618,5618,DGITM-SDMINT,,FR,06/03/2025,07/03/2025,https://www.ecologie.gouv.fr/
rail_company_5619,5619,BKE,BKE Eisenbahn-Service GmbH,DE,06/03/2025,07/03/2025,http://www.bke-eisenbahn.de/
rail_company_5620,5620,BEHALA,Berliner Hafen- und Lagerhausgesellschaft mbH,DE,11/03/2025,11/03/2025,https://www.behala.de/
rail_company_5621,5621,KGT,KGT Gleis-und Tiefbau GmbH,DE,11/03/2025,11/03/2025,
rail_company_5622,5622,EVUDBG,Dampfzug Betriebs Gemeinschaft e.V.,DE,17/03/2025,20/03/2025,
rail_company_5623,5623,Stock Transport,"Stock Transport  e.K., Inh Michael Stock",DE,17/03/2025,20/03/2025,
rail_company_5624,5624,CENR,CENOZA Rail d.o.o.,HR,17/03/2025,20/03/2025,https://www.cenoza.com/
rail_company_5625,5625,Zigs,ZigsXpress GmbH,DE,20/03/2025,21/03/2025,
rail_company_5626,5626,RTX,RailTech OU,LV,20/03/2025,21/03/2025,https://rail-tech.io/
rail_company_5627,5627,Aecon,Aecon AB,SE,20/03/2025,21/03/2025,
rail_company_5628,5628,MEDWAY France,"MEDWAY – OPERADOR FERROVIÁRIO DE MERCADORIAS, S.A.",,,,
rail_company_5629,5629,COS,CO Schweisstechnik GmbH,DE,27/03/2025,28/03/2025,
rail_company_5630,5630,Proxima AC,Proxima AssetCo,FR,27/03/2025,28/03/2025,https://www.antin-ip.com/investments/proxima
rail_company_5631,5631,Proxima OC,Proxima OpCo,FR,27/03/2025,28/03/2025,https://www.antin-ip.com/investments/proxima
rail_company_5632,5632,FO,FORAIL S.R.L.,IT,27/03/2025,28/03/2025,
rail_company_5633,5633,SV  OCEAN,SNCF Voyageurs Océan,FR,27/03/2025,28/03/2025,
rail_company_5634,5634,DPB CZ,DPB Rail Infra Service Czech Republic s.r.o.,CZ,01/04/2025,03/04/2025,https://dpb.at/
